Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
5341jX77rFzsNaJdat8zT1T3wqysawvktGS2UaiG4RYkAoJsJNXZavYopEa8DExUWsbuJAaoWU5QizLmgRRNscGW,1758724492,2025-09-24T14:34:52.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,4824959693,out,1028.96,9,SOL,1.0
4R3BfbZcxsaaFo6Wui4ZXd6s3a1Fj1SiHNR3RTSvobkm6ptBjaXNSzJCdBLR9SWnVyPTgHsTZnyubWDMw8JnPrGT,1758724433,2025-09-24T14:33:53.000Z,TRANSFER,9YFeuz8q9WMSJpeNhNHj6LSbZnQ6BvDt5u9CV2ALhPWv,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,4825039693,in,1030.19,9,SOL,1.0
2rSmSccTA1qYB9W5gYaFgGeSbjGtTLL3w9pofrQfQypu1GEbagMvZw1ebNi2fgdEvZf5qSaYmJd1hmKMMxcGnVoP,1758704301,2025-09-24T08:58:21.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,7908770172,out,1667.24,9,SOL,1.0
vL9mn946EUZnGGnXaNPH2kCe2qQDKbvc7TwgmGvNoYPssELNEQKAhpuQviQFLMDXaMXFdTtsVs12oJkDMrJPxrQ,1758704204,2025-09-24T08:56:44.000Z,CLOSE ACCOUNT,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,7900268515,out,1666.83,9,SOL,1.0
vL9mn946EUZnGGnXaNPH2kCe2qQDKbvc7TwgmGvNoYPssELNEQKAhpuQviQFLMDXaMXFdTtsVs12oJkDMrJPxrQ,1758704204,2025-09-24T08:56:44.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,9yj3zvLS3fDMqi1F8zhkaWfq8TZpZWHe6cz1Sgt7djXf,67710487,out,14.27,9,So11111111111111111111111111111111111111112,1.0
vL9mn946EUZnGGnXaNPH2kCe2qQDKbvc7TwgmGvNoYPssELNEQKAhpuQviQFLMDXaMXFdTtsVs12oJkDMrJPxrQ,1758704204,2025-09-24T08:56:44.000Z,TRANSFER,EUuvudwyL1XMquExxfAAQ43rtPV64DpfwdRRas4sGZsg,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,810745479,in,170.91,9,So11111111111111111111111111111111111111112,1.0
vL9mn946EUZnGGnXaNPH2kCe2qQDKbvc7TwgmGvNoYPssELNEQKAhpuQviQFLMDXaMXFdTtsVs12oJkDMrJPxrQ,1758704204,2025-09-24T08:56:44.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,EUuvudwyL1XMquExxfAAQ43rtPV64DpfwdRRas4sGZsg,18627801897,out,171.62,6,2oQNkePakuPbHzrVVkQ875WHeewLHCd2cAwfwiLQbonk,1.0
vL9mn946EUZnGGnXaNPH2kCe2qQDKbvc7TwgmGvNoYPssELNEQKAhpuQviQFLMDXaMXFdTtsVs12oJkDMrJPxrQ,1758704204,2025-09-24T08:56:44.000Z,TRANSFER,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,7155194243,in,1508.32,9,So11111111111111111111111111111111111111112,1.0
vL9mn946EUZnGGnXaNPH2kCe2qQDKbvc7TwgmGvNoYPssELNEQKAhpuQviQFLMDXaMXFdTtsVs12oJkDMrJPxrQ,1758704204,2025-09-24T08:56:44.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,164716697115,out,1517.53,6,2oQNkePakuPbHzrVVkQ875WHeewLHCd2cAwfwiLQbonk,1.0
vL9mn946EUZnGGnXaNPH2kCe2qQDKbvc7TwgmGvNoYPssELNEQKAhpuQviQFLMDXaMXFdTtsVs12oJkDMrJPxrQ,1758704204,2025-09-24T08:56:44.000Z,CREATE ACCOUNT,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,9SzDh6tnHcaGAadFy9jsYTX1fKh8kEJqW43pf5GnQgks,2039280,out,0.4303,9,SOL,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,4gQT88rvHr6ay8XvmUUriL5FTjsSuvkvH8ybz3etVLBb,114583,out,0.02514,9,SOL,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,CLOSE ACCOUNT,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,2039280,out,0.4473,9,SOL,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,TRANSFER,8uEPXog5wbS2NMCjiYsAkV8DsPwNuje13ZHd4kXSMoSY,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,82947773377,in,798.77,6,2oQNkePakuPbHzrVVkQ875WHeewLHCd2cAwfwiLQbonk,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,8uEPXog5wbS2NMCjiYsAkV8DsPwNuje13ZHd4kXSMoSY,801460515,out,802.05,6,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,CLOSE ACCOUNT,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,2039280,out,0.4473,9,SOL,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,TRANSFER,2sp6rCc4VaXJ5qCbrPukpQVjZVZey42pj7QkynYNDdw3,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,801460515,in,802.05,6,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,2sp6rCc4VaXJ5qCbrPukpQVjZVZey42pj7QkynYNDdw3,802059111,out,801.86,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,CREATE ACCOUNT,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,6GwBqSZgH89hp7pbZbYNGM6uzvMwKuWx8VsuGcHSX1yH,2039280,out,0.4473,9,SOL,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,CLOSE ACCOUNT,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,2039280,out,0.4473,9,SOL,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,AvGeFw71N5sNfV97mZ1uNrHg4yfufRicCJUrS9j2ehTX,3659760838,out,802.12,9,So11111111111111111111111111111111111111112,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,TRANSFER,AvGeFw71N5sNfV97mZ1uNrHg4yfufRicCJUrS9j2ehTX,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,802059111,in,801.86,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,CREATE ACCOUNT,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,5cYyRAKK6jC3SVoj9G5VBNeiybTUeBBfyBntVVzJ6tv3,2039280,out,0.4473,9,SOL,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,TRANSFER,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,100396725635,in,966.8,6,2oQNkePakuPbHzrVVkQ875WHeewLHCd2cAwfwiLQbonk,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,4420964162,out,968.96,9,So11111111111111111111111111111111111111112,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,CREATE ACCOUNT,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,4eKAuhxeULg8xWtZkusdmCQeT1eJFcGF2YCVF1PMMwhx,2039280,out,0.4473,9,SOL,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,9yj3zvLS3fDMqi1F8zhkaWfq8TZpZWHe6cz1Sgt7djXf,69275000,out,15.18,9,So11111111111111111111111111111111111111112,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,9SzDh6tnHcaGAadFy9jsYTX1fKh8kEJqW43pf5GnQgks,8150000000,out,1787.82,9,SOL,1.0
3BzSUMM9sQey9SqL5VSsBzS2g9Ry7cXX4hFVj1FStCsAcV26hzVG7wGCHaGMqZvugm1S4hi217sQTwitZrgwGigK,1758644670,2025-09-23T16:24:30.000Z,CREATE ACCOUNT,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,9SzDh6tnHcaGAadFy9jsYTX1fKh8kEJqW43pf5GnQgks,2039280,out,0.4473,9,SOL,1.0
5BqmjrFrSuhDDBM6Hdn5nVJv55mHn92ufCJXFoQjftSEk6CKrLRTKfLtVAqMHwXnguESvgaB8nePLVzZBtcw2f7e,1758644622,2025-09-23T16:23:42.000Z,TRANSFER,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,8107413790,in,1778.48,9,SOL,1.0
61VUSLqX1WRxXnBEe5WxbjBva5kTuViczUUPdw1BSxsTo1DuLsgBpygCeuZKAHosFV5PxxAwj7n3T49uVQUPbPxq,1757973131,2025-09-15T21:52:11.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,6PZdF9ijPyNHgGStiJchuXN7XxEKYwBruh3umqauXQCV,2811289170468,out,491.04,6,Yr8CsFhUBsRxeTcGcKmzxMSJMAfWtMaadyoj1JApump,1.0
61VUSLqX1WRxXnBEe5WxbjBva5kTuViczUUPdw1BSxsTo1DuLsgBpygCeuZKAHosFV5PxxAwj7n3T49uVQUPbPxq,1757973131,2025-09-15T21:52:11.000Z,CREATE ACCOUNT,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,8quAgYWfV3bEK9CaPXM1SNyMBatfkFaNsEoqkvUJ8cu7,2039280,out,0.4795,9,SOL,1.0
THray66XyNmKQpEDFtr4hLqw3MqxoBHw115mE3Koj1NZsiCNV1wDKSHGKQEkWkGyCW1YaS7QDaemfjK8uE7BeB7,1757963174,2025-09-15T19:06:14.000Z,CLOSE ACCOUNT,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,2039280,out,0.4776,9,SOL,1.0
THray66XyNmKQpEDFtr4hLqw3MqxoBHw115mE3Koj1NZsiCNV1wDKSHGKQEkWkGyCW1YaS7QDaemfjK8uE7BeB7,1757963174,2025-09-15T19:06:14.000Z,TRANSFER,DdA2wMS5N72BFE1oskBk3yDmJQujwn1wnXATfik2YE8c,zeYvN7XCurVBRHfgtAaFG5hXymfR54AZZBasm4vew1h,465378,out,0.1091,9,So11111111111111111111111111111111111111112,1.0
